Model,Mean,SD
KNN,0.287,0.316
GPR,0.064,0.161
Linear,0.248,0.233
RidgeCV,0.311,0.216
LassoCV,0.253,0.229
ENCV,0.254,0.219
RFR,0.457,0.133
GBR,0.325,0.217
SVR,0.37,0.203
