Model,Mean,SD
KNN,-1.012,0.509
GPR,-1.285,0.518
Linear,-1.032,0.437
RidgeCV,-0.952,0.424
LassoCV,-1.05,0.498
ENCV,-1.046,0.493
RFR,-0.725,0.256
GBR,-0.855,0.281
SVR,-0.881,0.405
