Model,Mean,SD
KNN,0.31,0.072
GPR,0.153,0.145
Linear,0.233,0.258
RidgeCV,0.352,0.165
LassoCV,0.268,0.237
ENCV,0.277,0.229
RFR,0.583,0.088
GBR,0.469,0.162
SVR,0.392,0.123
