Model,Mean,SD
KNN,0.203,0.443
GPR,0.125,0.267
Linear,0.28,0.341
RidgeCV,0.305,0.33
LassoCV,0.269,0.326
ENCV,0.277,0.327
RFR,0.366,0.444
GBR,0.314,0.364
SVR,0.429,0.202
