Model,Mean,SD
KNN,0.379,0.243
GPR,0.23,0.241
Linear,0.414,0.211
RidgeCV,0.445,0.196
LassoCV,0.407,0.2
ENCV,0.417,0.199
RFR,0.494,0.39
GBR,0.441,0.376
SVR,0.509,0.151
