Model,Mean,SD
KNN,0.406,0.183
GPR,0.156,0.096
Linear,0.347,0.207
RidgeCV,0.406,0.187
LassoCV,0.354,0.21
ENCV,0.358,0.201
RFR,0.523,0.157
GBR,0.368,0.206
SVR,0.419,0.133
