Model,Mean,SD
KNN,0.159,0.283
GPR,0.062,0.116
Linear,0.132,0.306
RidgeCV,0.255,0.236
LassoCV,0.167,0.298
ENCV,0.177,0.294
RFR,0.508,0.137
GBR,0.42,0.211
SVR,0.304,0.207
